videoID,channelID,day,views
JnbQ02S2gVk,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-03,664
JnbQ02S2gVk,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-04,796
JnbQ02S2gVk,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-05,935
JnbQ02S2gVk,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-06,957
JnbQ02S2gVk,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-07,891
JnbQ02S2gVk,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-08,832
JnbQ02S2gVk,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-09,1253
JnbQ02S2gVk,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-10,1072
JnbQ02S2gVk,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-11,1066
JnbQ02S2gVk,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-12,1118
JnbQ02S2gVk,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-13,1489
JnbQ02S2gVk,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-14,985
_GeapdGbGEc,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-03,45
_GeapdGbGEc,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-04,38
_GeapdGbGEc,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-05,44
_GeapdGbGEc,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-06,77
_GeapdGbGEc,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-07,77
_GeapdGbGEc,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-08,81
_GeapdGbGEc,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-09,85
_GeapdGbGEc,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-10,60
_GeapdGbGEc,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-11,73
_GeapdGbGEc,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-12,59
_GeapdGbGEc,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-13,53
_GeapdGbGEc,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-14,38
b3woNwAit1E,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-03,27
b3woNwAit1E,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-04,28
b3woNwAit1E,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-05,21
b3woNwAit1E,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-06,28
b3woNwAit1E,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-07,32
b3woNwAit1E,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-08,55
b3woNwAit1E,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-09,26
b3woNwAit1E,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-10,34
b3woNwAit1E,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-11,34
b3woNwAit1E,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-12,31
b3woNwAit1E,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-13,39
b3woNwAit1E,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-14,23
